p,theta,z,L,E,ω,grid_points,grid_size,finite_Nc1,large_Nc1,true_Nc1,finite_Nc2,large_Nc2,diag_Nc2,true_Nc2_diag,largeNc/finiteNc1,largeNc/finiteNc2,diagNc/finiteNc2,error1,error2,time
0.208,0.21,0.01,2.0,100,0.99,50,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:02:58.561660
0.208,0.21,0.01,2.0,100,0.99,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:03:00.907419
0.208,0.21,0.01,2.0,100,0.99,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:08:54.750888
0.208,0.21,0.01,2.0,100,0.99,60,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 01:31:54.869749
0.208,0.21,0.01,2.0,100,0.99,50,2,(0.495-1.468j),(0.173-0.242j),(0.137-0.199j),(4.827-13.832j),(4.823-13.828j),(4.823-13.828j),(4.621-11.618j),0.35,1.0,1.0,0.188,0.149,0 days 01:25:00.116485
0.321,0.324,0.01,2.0,100,0.99,50,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:02:59.403730
0.321,0.324,0.01,2.0,100,0.99,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:03:01.772300
0.321,0.324,0.01,2.0,100,0.99,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:09:07.062911
0.321,0.324,0.01,2.0,100,0.99,60,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 01:33:29.890604
0.321,0.324,0.01,2.0,100,0.99,50,2,(0.71-1.802j),(0.395-0.572j),(0.309-0.457j),(4.851-14.14j),(4.848-14.137j),(4.848-14.137j),(4.651-11.953j),0.56,1.0,1.0,0.206,0.144,0 days 01:25:06.572214
0.495,0.5,0.01,2.0,100,0.99,50,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:02:59.428115
0.495,0.5,0.01,2.0,100,0.99,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:39.626865
0.495,0.5,0.01,2.0,100,0.99,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:02:58.829810
0.495,0.5,0.01,2.0,100,0.99,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:08:58.917901
0.495,0.5,0.01,2.0,100,0.99,60,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 01:32:11.947582
0.495,0.5,0.01,2.0,100,0.99,50,2,(1.149-2.568j),(0.85-1.327j),(0.647-0.995j),(4.872-14.833j),(4.869-14.83j),(4.869-14.83j),(4.683-12.708j),0.74,1.0,1.0,0.247,0.135,0 days 01:25:05.367985
0.765,0.772,0.01,2.0,100,0.99,50,2,(1.85-4.207j),(1.585-2.947j),(1.129-1.937j),(4.756-16.256j),(4.755-16.255j),(4.755-16.255j),(4.587-14.269j),0.86,1.0,1.0,0.331,0.118,0 days 01:30:19.687238
0.012,0.01,0.024,2.0,50,1.16,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:42.479663
0.233,0.201,0.024,2.0,50,1.16,50,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:03:20.886197
