p,theta,z,L,E,ω,grid_points,grid_size,finite_Nc1,large_Nc1,true_Nc1,finite_Nc2,large_Nc2,diag_Nc2,true_Nc2_diag,largeNc/finiteNc1,largeNc/finiteNc2,diagNc/finiteNc2,error1,error2,time
1.1640000000000001,0.5,0.024,2.0,100,2.33,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:03:52.191966
0.025,0.01,0.5,2.0,10,2.5,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:02:05.931706
0.5,0.2,0.5,2.0,10,2.5,50,3,(2.883-3.958j),(2.405-3.275j),(2.027-2.778j),(16.772-21.225j),(16.171-20.802j),,,0.83,0.98,,0.154,,0 days 00:25:43.821433
0.5,0.2,0.5,2.0,10,2.5,30,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:00:09.037821
1.25,0.5,0.5,2.0,10,2.5,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:02:04.755657
0.027000000000000003,0.01,0.057,2.0,50,2.68,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:56.660177
0.537,0.2,0.057,2.0,50,2.68,50,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:04:38.804618
1.3419999999999999,0.501,0.057,2.0,50,2.68,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:52.899548
0.035,0.01,0.037000000000000005,2.0,100,3.55,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:04:23.341788
0.035,0.01,0.037000000000000005,2.0,100,3.55,40,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:00:53.613406
0.055,0.015,0.037000000000000005,2.0,100,3.55,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:04:25.548050
0.085,0.024,0.037000000000000005,2.0,100,3.55,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:04:26.390016
0.131,0.037000000000000005,0.037000000000000005,2.0,100,3.55,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:04:23.845164
0.202,0.057,0.037000000000000005,2.0,100,3.55,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:04:24.362689
0.312,0.08800000000000001,0.037000000000000005,2.0,100,3.55,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:04:30.496891
0.482,0.136,0.037000000000000005,2.0,100,3.55,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:04:24.415187
0.71,0.2,0.037000000000000005,2.0,100,3.55,50,3,failed,failed,failed,failed,failed,,,failed,failed,,failed,,0 days 00:04:23.861609
0.7440000000000001,0.21,0.037000000000000005,2.0,100,3.55,50,3,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,failed,0 days 00:04:26.771119
